season,season_type,field,n_games,pct_non_null
2017,regular,excluded_for_no_spread,834,100.0
2017,regular,excluded_for_not_completed,834,100.0
2017,regular,fbs_vs_fbs,834,100.0
2017,regular,fbs_vs_fcs,834,100.0
2017,regular,has_any_opening_spread,834,100.0
2017,regular,has_any_spread,834,100.0
2017,regular,has_lines_entry,834,100.0
2017,regular,has_open_and_close,834,100.0
2017,regular,has_pregame_elo_both,834,100.0
2017,regular,highlights,834,100.0
2017,regular,homeClassification,834,100.0
2017,regular,homeConference,834,100.0
2017,regular,homeId,834,100.0
2017,regular,homeLineScores,834,100.0
2017,regular,homePoints,834,100.0
2017,regular,homePostgameElo,834,88.49
2017,regular,homePostgameWinProbability,834,100.0
2017,regular,homePregameElo,834,88.49
2017,regular,homeTeam,834,100.0
2017,regular,home_class,834,100.0
2017,regular,home_class_unrecognized,834,100.0
2017,regular,home_ls_len,834,100.0
2017,regular,id,834,100.0
2017,regular,likely_ot,834,100.0
2017,regular,n_providers,834,100.0
2017,regular,neutralSite,834,100.0
2017,regular,notes,834,1.68
2017,regular,passes_exclusion_filter,834,100.0
2017,regular,season,834,100.0
2017,regular,seasonType,834,100.0
2017,regular,shortened_or_canceled,834,100.0
2017,regular,startDate,834,100.0
2017,regular,startTimeTBD,834,100.0
2017,regular,venue,834,100.0
2017,regular,venueId,834,100.0
2017,regular,week,834,100.0
2018,postseason,attendance,39,100.0
2018,postseason,awayClassification,39,100.0
2018,postseason,awayConference,39,100.0
2018,postseason,awayId,39,100.0
2018,postseason,awayLineScores,39,100.0
2018,postseason,awayPoints,39,100.0
2018,postseason,awayPostgameElo,39,100.0
2018,postseason,awayPostgameWinProbability,39,100.0
2018,postseason,awayPregameElo,39,100.0
2018,postseason,awayTeam,39,100.0
2018,postseason,away_class,39,100.0
2018,postseason,away_class_unrecognized,39,100.0
2018,postseason,away_ls_len,39,100.0
2018,postseason,classification_unrecognized,39,100.0
2018,postseason,completed,39,100.0
2018,postseason,conferenceGame,39,100.0
2018,postseason,excitementIndex,39,100.0
2018,postseason,excluded_for_canceled_or_shortened,39,100.0
2018,postseason,excluded_for_fcs_opponent,39,100.0
2018,postseason,excluded_for_no_spread,39,100.0
2018,postseason,excluded_for_not_completed,39,100.0
2018,postseason,fbs_vs_fbs,39,100.0
2018,postseason,fbs_vs_fcs,39,100.0
2018,postseason,has_any_opening_spread,39,100.0
2018,postseason,has_any_spread,39,100.0
2018,postseason,has_lines_entry,39,100.0
2018,postseason,has_open_and_close,39,100.0
2018,postseason,has_pregame_elo_both,39,100.0
2018,postseason,highlights,39,100.0
2018,postseason,homeClassification,39,100.0
2018,postseason,homeConference,39,100.0
2018,postseason,homeId,39,100.0
2018,postseason,homeLineScores,39,100.0
2018,postseason,homePoints,39,100.0
2018,postseason,homePostgameElo,39,100.0
2018,postseason,homePostgameWinProbability,39,100.0
2018,postseason,homePregameElo,39,100.0
2018,postseason,homeTeam,39,100.0
2018,postseason,home_class,39,100.0
2018,postseason,home_class_unrecognized,39,100.0
2018,postseason,home_ls_len,39,100.0
2018,postseason,id,39,100.0
2018,postseason,likely_ot,39,100.0
2018,postseason,n_providers,39,100.0
2018,postseason,neutralSite,39,100.0
2018,postseason,notes,39,79.49
2018,postseason,passes_exclusion_filter,39,100.0
2018,postseason,season,39,100.0
2018,postseason,seasonType,39,100.0
2018,postseason,shortened_or_canceled,39,100.0
2018,postseason,startDate,39,100.0
2018,postseason,startTimeTBD,39,100.0
2018,postseason,venue,39,100.0
2018,postseason,venueId,39,100.0
2018,postseason,week,39,100.0
2018,regular,attendance,845,100.0
2018,regular,awayClassification,845,100.0
2018,regular,awayConference,845,100.0
2018,regular,awayId,845,100.0
2018,regular,awayLineScores,845,100.0
2018,regular,awayPoints,845,100.0
2018,regular,awayPostgameElo,845,86.86
2018,regular,awayPostgameWinProbability,845,100.0
2018,regular,awayPregameElo,845,86.86
2018,regular,awayTeam,845,100.0
2018,regular,away_class,845,100.0
2018,regular,away_class_unrecognized,845,100.0
2018,regular,away_ls_len,845,100.0
2018,regular,classification_unrecognized,845,100.0
2018,regular,completed,845,100.0
2018,regular,conferenceGame,845,100.0
2018,regular,excitementIndex,845,99.64
2018,regular,excluded_for_canceled_or_shortened,845,100.0
2018,regular,excluded_for_fcs_opponent,845,100.0
2018,regular,excluded_for_no_spread,845,100.0
2018,regular,excluded_for_not_completed,845,100.0
2018,regular,fbs_vs_fbs,845,100.0
2018,regular,fbs_vs_fcs,845,100.0
2018,regular,has_any_opening_spread,845,100.0
2018,regular,has_any_spread,845,100.0
2018,regular,has_lines_entry,845,100.0
2018,regular,has_open_and_close,845,100.0
2018,regular,has_pregame_elo_both,845,100.0
2018,regular,highlights,845,100.0
2018,regular,homeClassification,845,100.0
2018,regular,homeConference,845,100.0
2018,regular,homeId,845,100.0
2018,regular,homeLineScores,845,100.0
2018,regular,homePoints,845,100.0
2018,regular,homePostgameElo,845,86.86
2018,regular,homePostgameWinProbability,845,100.0
2018,regular,homePregameElo,845,86.86
2018,regular,homeTeam,845,100.0
2018,regular,home_class,845,100.0
2018,regular,home_class_unrecognized,845,100.0
2018,regular,home_ls_len,845,100.0
2018,regular,id,845,100.0
2018,regular,likely_ot,845,100.0
2018,regular,n_providers,845,100.0
2018,regular,neutralSite,845,100.0
2018,regular,notes,845,3.31
